"Code 
Gestionnaire",Nom Société
GSS056,CEA TRANSPORTS
GSS057,CARS D'ORSAY
GSS058,TRANSDEV  URBAIN
GSS059,TRANSDEV ROCHEFORT OCEAN
GSS060,TPMR TOURS
GSS061,TRANSDEV TOURAINE
GSS062,BIEVRE BUS MOBILITES
GSS063,TRANSDEV NORMANDIE VAL DE SEINE
GSS064,TRANSDEV  URBAIN
GSS066,CITYWAY
GSS067,CITYWAY
GSS068,CITYWAY
GSS069,SITE OISE
GSS070,ATRIOM DU BEAUVAISIS
GSS071,ATRIOM DU COMPIEGNOIS
GSS073,TRANSDEV ARTESIENS
GSS074,TRANSDEV MOBILITES DU SAINT QUENTINOIS
GSS075,TRANSPORTS DU VAL D'OISE
GSS076,LES CARS ROSE
GSS077,TRANSDEV ILE DE FRANCE
GSS078,AUTOCARS TOURNEUX
GSS079,TRANSDEV ILE DE FRANCE
GSS080,TRANSDEV ILE DE FRANCE
GSS081,TRANSDEV ILE DE FRANCE
GSS082,PROXIWAY
GSS083,TRANSDEV ILE DE FRANCE
GSS084,TRANSDEV ILE DE FRANCE
GSS085,LES COURRIERS DE SEINE ET OISE
GSS086,TRANSDEV ILE DE FRANCE
GSS087,STE TRANSPORTS AUTOMOBILES ET DE VOYAGES
GSS088,TRANSDEV ILE DE FRANCE
GSS089,STE EXPLOIT TRANSPORTS ET REPARA AUTO
GSS092,TRANSDEV COMPAGNIE AXONAISE
GSS095,MECA PISTE
GSS096,LES COURRIERS DE L'AUBE
GSS097,TRANSDEV GRAND EST
GSS098,TRANSDEV GRAND EST
GSS099,TRANSDEV GRAND EST
GSS101,STE TRANSPORTS AGGLOMERATION THONON
GSS102,TRANSDEV ANNONAY
GSS103,MOBILITE ET SERVICES
GSS104,TRANSDEV BASSIN ARCACHON
GSS105,TRANSDEV ICM
GSS106,TRANSDEV EXPRESS RHONE ALPES AUVERGNE
GSS107,TRANSDEV EXPRESS GRAND OUEST
GSS108,TRANSDEV GRAND EST
GSS109,TRANSDEV SENONAIS
GSS110,AUTOCARS DARCHE-GROS ET COMPAGNIE
GSS111,EUROPE AUTOCARS
GSS112,TRANSDEV  LYS
GSS113,TRANSDEV NORMANDIE MANCHE
GSS114,TRANSDEV NORMANDIE PAYS DE CAUX
GSS115,TRANSDEV  URBAIN
GSS116,TRANSDEV URBAIN DIEPPE
GSS117,TRANSDEV PICARDIE
GSS118,TRANSDEV OISE CABARO
GSS119,TRANSDEV BEAUVAISIS MOBILITE
GSS120,TRANSDEV NORD
GSS122,TRANSDEV OUEST PROVENCE
GSS123,TRANSDEV RHONE ALPES
GSS124,TRANSDEV RHONE ALPES
GSS126,TRANSDEV ROANNE
GSS127,TD DAUPHINE
GSS128,TRANSDEV BRIANCON
GSS129,TRANSDEV PARK SERVICES
GSS132,TRANSDEV RHONE ALPES
GSS133,TRANSDEV EXPRESS RHONE ALPES AUVERGNE
GSS134,CONTROLE STATIONNEMENT EN VOIRIE
GSS135,TRANSDEV CMT
GSS168,TRANSDEV LA ROCHELLE
GSS169,TRANSDEV SAINT DIE
GSS170,TRANSDEV CONTROLE ET SURETE IDF
GSS171,TRANSDEV POITOU CHARENTES
GSS172,TRANSDEV POITOU CHARENTES
GSS173,TRANSDEV POITOU CHARENTES
GSS175,TRANSDEV ROYAN ATLANTIQUE
GSS176,TRANSPORTS DE TOURISME DE L'OCEAN
GSS178,TRANSDEV BFC NORD
GSS179,TRANSDEV BFC SUD
GSS180,TRANSDEV AUXERROIS
GSS181,TRANSDEV STAC
GSS182,TRANSDEV BFC EST
GSS183,TRANSDEV MACONNAIS BEAUJOLAIS
GSS185,TRANSDEV LOIR ET CHER
GSS186,TRANSDEV ARTOIS GOHELLE
GSS187,TRANSDEV LE HAVRE
GSS192,TRANSDEV OCCITANIE LITTORAL
GSS194,TRANSDEV NORMANDIE INTERURBAIN
GSS195,TRANSDEV LITTORAL NORD
GSS197,SOC TRANSPORTS CALAIS ET EXTENSIONS
GSS198,TRANSDEV COTE D'AZUR
GSS199,AUTOCARS MUSSO
GSS200,ETABLISSEMENTS BREMOND FRERES
GSS202,TRANSDEV ALPES MARITIMES
GSS205,TRANSDEV BOUCHES-DU-RHONE
GSS206,TRANSDEV MEDITERRANEE
GSS207,TRANSDEV ARLES
GSS208,AUTOBUS DE L'ETANG
GSS209,TRANSDEV VITROLLES
GSS210,SOCIETE DES AUTOCARS SABARDU
GSS211,TRANSDEV ISTRES
GSS212,TRANS PISTES
GSS214,SOCIETE VAROISE DE TRANSPORTS
GSS215,C.F.T.I.
GSS216,TRANSDEV  URBAIN
GSS219,TRANSDEV AUVERGNE
GSS224,TRANSDEV RHONE ALPES
GSS225,TRANSDEV RHONE ALPES
GSS227,EAP
GSS228,TRANSAMO
GSS229,TRANSDEV
GSS230,TRANSDEV AEROPORT SERVICES
GSS231,TRANSDEV BUSINESS INFORMATION SOLUTIONS
GSS233,TRANSDEV GROUP
GSS234,TPMR TOULOUSE
GSS236,TRANSDEV GROUP
GSS238,TRANSDEV EST
GSS239,TRANSDEV DROME
GSS240,TRANSDEV VICHY
GSS242,TRANSDEV EXPRESS SUD OUEST
GSS243,TRANS.CITE
GSS244,TRANSDEV ALBERTVILLE
GSS478,AEROPASS
GSS479,AEROPISTE GROUPE TRANSDEV
GSS480,TRANSDEV OCCITANIE OUEST
GSS481,CARBU WASH GROUPE TRANSDEV
GSS482,TRANSDEV CAP
GSS483,TRANSDEV BASSIN ANNECIEN
GSS484,INTERPISTES GROUPE TRANSDEV
GSS485,MOBILINK
GSS486,TRANSDEV MONT SAINT MICHEL
GSS487,TRANSDEV MONT BLANC BUS
GSS488,MOUV'IDEES
GSS491,TRANSDEV NIMES MOBILITE
GSS492,SCTE DES TRANSPORTS DE DUNKERQUE ET EXT
GSS493,TRANSDEV OCCITANIE PAYS NIMOIS
GSS495,TRANSDEV VAUCLUSE
GSS498,TRANSDEV SAVOIE
GSS501,TRANSDEV AEROPORT TRANSIT
GSS502,TRANSDEV NIORT AGGLOMERATION
GSS504,TRANSDEV VALENCE MOBILITE
GSS505,TRANSPORTS COMMUNS AGGLOMERATION ROUEN
GSS506,TRANSDEV EURE ET LOIR
GSS507,TRANSDEV SUD OUEST
GSS508,VAD
GSS509,VISUAL
GSS510,FLYBUS
GSS511,TRANSDEV CARGO
GSS512,TRANSDEV MARTIN
GSS513,TRANSDEV MANOSQUE
GSS514,TRANSDEV DURANCE
GSS515,CAUX SEINE MOBILITE
GSS516,TRANSDEV URBAIN LIBOURNAIS
GSS521,TRANSDEV GUINGAMP-PAIMPOL AGGLOMERATION
GSS522,TRANSPORT DU GRAND AVIGNON
GSS523,TRANSDEV HAUTE SAVOIE
GSS524,TRANSDEV VAR
GSS525,TRANSDEV EXPRESS SUD OUEST
GSS528,TRANSDEV VERDUN
GSS541,TRANSDEV SENART
GSS542,TRANSDEV MARNE-LA-VALLEE
GSS543,EURE ET LOIR MOBILITE
GSS544,TRANSDEV BRETAGNE
GSS547,TRANSDEV COTENTIN
GSS548,TRANSDEV ALPILLES BERRE MEDITERRANNEE
GSS549,TRANSDEV PARK VOIRIE
GSS550,TRANSDEV MELUN VAL DE SEINE
GSS551,TRANSDEV VALMY
GSS552,TRANSDEV VEXIN
GSS553,TRANSDEV TRANSPORTS DEODATIENS
GSS555,TRANSDEV LOIRET MOBILITE
GSS556,TRANSDEV RESEAU INTERURBAIN DE L'OISE 1
GSS557,TRANSDEV RESEAU INTERURBAIN DE L'OISE  3
GSS558,SOCIETE DE PRESTATIONS TRANSDEV IDF
GSC560,Inconnu
GSS560,Inconnu
GSC559,Inconnu
GSS559,Inconnu
